,Status,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentSince,InstallmentRate,PersonalStatusSex,OtherDebtors,PresentResidence,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,NumLiable,Telephone,ForeignWorker,label
0,0.3333333333333333,0.1176470588235294,0.5,0.0,0.0574997248816991,0.0,0.25,0.6666666666666667,0.3333333333333333,0.0,0.0,0.6666666666666666,0.1071428571428571,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1
1,1.0,0.2058823529411764,0.5,1.0,0.0725211841091669,0.25,0.5,0.6666666666666667,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0892857142857143,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0
2,1.0,0.2058823529411764,0.0,1.0,0.2154176295807197,0.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3035714285714285,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1
3,0.3333333333333333,0.2941176470588235,0.5,0.4444444444444444,0.0944756245185429,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0178571428571428,1.0,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0
4,1.0,0.1029411764705882,1.0,0.0,0.3839551006932981,0.0,0.5,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3571428571428571,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0
5,1.0,0.1176470588235294,0.5,0.4444444444444444,0.0304831077363266,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3392857142857142,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0
6,0.3333333333333333,0.3823529411764705,0.75,1.0,0.1239683063717398,0.25,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3928571428571428,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0
7,0.0,0.4705882352941176,1.0,0.1111111111111111,0.5160669087707714,0.0,0.75,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0892857142857143,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,1
8,0.0,0.0294117647058823,0.5,0.3333333333333333,0.0097942115109497,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5357142857142858,0.0,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0
9,1.0,0.0735294117647058,0.5,0.5555555555555556,0.0542533289314405,0.0,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,0.0714285714285714,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0
10,1.0,0.0735294117647058,1.0,0.0,0.053593045009354,0.0,0.5,0.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.1964285714285714,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0
11,0.0,0.2941176470588235,0.5,0.3333333333333333,0.0823704192802905,0.0,0.25,1.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0892857142857143,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,1.0,0
12,1.0,0.088235294117647,0.5,0.0,0.0741168702542093,0.5,0.5,0.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3749999999999999,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0
13,0.0,0.2941176470588235,0.5,0.0,0.0622317596566523,1.0,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,1
