age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0.46575342465753417,0.5,0.1023940180111653,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.7857142857142856,0.0,1.0,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.0547945205479452,0.5,0.015302019804131975,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.07142857142857142,1.0,1.0,0.0,0.0,0.0,0.11224489795918367,0.951219512195122
0.35616438356164376,0.25,0.06564703005935807,0.6,0.8,0.0,0.7142857142857142,0.8,1.0,0.0,0.0,0.0,0.47959183673469385,0.951219512195122
0.2602739726027397,0.5,0.1397223618261094,1.0,0.6,0.3333333333333333,0.5,0.0,1.0,1.0,0.0,0.0,0.47959183673469385,0.951219512195122
0.3424657534246575,0.5,0.07387158555303514,0.6,0.8,0.3333333333333333,0.8571428571428571,0.0,1.0,1.0,0.0,0.0,0.6020408163265305,0.951219512195122
0.0136986301369863,0.0,0.0953233452411676,0.0,0.33333333333333337,0.6666666666666666,0.0,0.6000000000000001,1.0,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.1917808219178082,0.5,0.2513433667024355,1.0,0.6,0.6666666666666666,0.07142857142857142,0.2,1.0,1.0,0.0,0.0,0.39795918367346933,0.2682926829268293
0.46575342465753417,0.75,0.1548967006696459,1.0,0.6,0.3333333333333333,0.21428571428571427,0.0,1.0,1.0,0.0,0.0,0.19387755102040813,0.951219512195122
0.1917808219178082,0.5,0.010575107645916246,0.7333333333333333,0.5333333333333333,0.6666666666666666,0.5714285714285714,0.8,1.0,0.0,0.0,0.0,0.07142857142857142,0.951219512195122
0.6575342465753424,0.5,0.13109303052118282,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.07142857142857142,0.0,1.0,1.0,0.0,0.0,0.19387755102040813,0.951219512195122
0.0684931506849315,0.5,0.274426454408389,1.0,0.6,0.6666666666666666,0.21428571428571427,0.8,1.0,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.4246575342465753,0.5,0.17168878445008898,0.0,0.33333333333333337,0.0,0.8571428571428571,0.2,1.0,0.0,0.0,0.0,0.37755102040816324,0.951219512195122
0.4246575342465753,0.625,0.11732793632251667,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.21428571428571427,0.0,1.0,1.0,0.07298072980729807,0.0,0.5,0.951219512195122
0.0684931506849315,0.0,0.12828812431235653,1.0,0.6,0.6666666666666666,0.0,0.6000000000000001,1.0,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.2328767123287671,0.5,0.09858668043085533,0.7333333333333333,0.5333333333333333,0.0,0.21428571428571427,0.8,1.0,1.0,0.0,0.0,0.44897959183673464,0.951219512195122
0.0958904109589041,0.5,0.08929585308539684,1.0,0.6,0.6666666666666666,0.5,0.6000000000000001,1.0,1.0,0.0,0.0,0.5510204081632653,0.951219512195122
0.136986301369863,0.5,0.029514676518928022,0.6,0.8,0.3333333333333333,0.2857142857142857,1.0,0.5,0.0,0.0,0.0,0.44897959183673464,0.951219512195122
0.4383561643835617,0.5,0.11803221906792899,0.8,0.8666666666666667,0.3333333333333333,0.7142857142857142,1.0,1.0,0.0,0.0,0.0,0.5,0.951219512195122
0.2191780821917808,0.5,0.039500957607204464,0.7333333333333333,0.5333333333333333,0.6666666666666666,0.9999999999999999,0.4,0.25,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.3424657534246575,0.5,0.07194075060105133,0.4,0.26666666666666666,0.3333333333333333,0.9999999999999999,0.0,1.0,1.0,0.0,0.0,0.39795918367346933,0.951219512195122
0.0958904109589041,0.5,0.12532497521087735,0.6,0.8,0.3333333333333333,0.7142857142857142,0.0,1.0,1.0,0.03908039080390804,0.0,0.39795918367346933,0.951219512195122
0.32876712328767127,0.875,0.20155322530256314,0.6666666666666666,1.0,0.3333333333333333,0.7142857142857142,0.0,1.0,1.0,0.0,0.0,0.5,0.951219512195122
